"athlete","trainingDate","season","rpetl"
"Naadir el-Mahdavi",2015-08-13,"Fall 2015",465
"Tayyib al-Wahab",2015-08-13,"Fall 2015",555
"Brandon Troxel",2015-08-13,"Fall 2015",555
"Aqeel al-Hossain",2015-08-13,"Fall 2015",270
"Darin Russell",2015-08-13,"Fall 2015",655
"Benjamin Babatunde",2015-08-14,"Fall 2015",505
"Joo Garand",2015-08-14,"Fall 2015",505
"Aiden Jaeger",2015-08-14,"Fall 2015",375
"Tony Cha",2015-08-14,"Fall 2015",315
"Kevin Querubin",2015-08-14,"Fall 2015",180
"Kordell Thompson",2015-08-14,"Fall 2015",240
"Joaquin Martinez",2015-08-14,"Fall 2015",690
"Rocky Mccarty",2015-08-14,"Fall 2015",250
"Keandre Johnson",2015-08-14,"Fall 2015",195
"Scott Lucero",2015-08-14,"Fall 2015",500
"Max Zuniga",2015-08-14,"Fall 2015",440
"Torben Mcclelland",2015-08-14,"Fall 2015",315
"Steve Galligan",2015-08-14,"Fall 2015",500
"Marzooq al-Fahs",2015-08-14,"Fall 2015",440
"Muhaajir al-Mirza",2015-08-14,"Fall 2015",375
"Shawn James",2015-08-14,"Fall 2015",375
"Andrew Ortiz-Gonzales",2015-08-14,"Fall 2015",625
"Taaha el-Qazi",2015-08-14,"Fall 2015",375
"Lawrence Tamayo",2015-08-14,"Fall 2015",505
"Husaam al-Ishak",2015-08-14,"Fall 2015",320
"Bishr el-Hamdan",2015-08-14,"Fall 2015",500
"Arun Bruckner",2015-08-14,"Fall 2015",435
"Jungsoo Moua",2015-08-14,"Fall 2015",440
"Mori Tani",2015-08-14,"Fall 2015",375
"Saleem el-Sham",2015-08-14,"Fall 2015",375
"Naadir el-Mahdavi",2015-08-14,"Fall 2015",315
"Tayyib al-Wahab",2015-08-14,"Fall 2015",435
"Brandon Troxel",2015-08-14,"Fall 2015",560
"Aqeel al-Hossain",2015-08-14,"Fall 2015",440
"Darin Russell",2015-08-14,"Fall 2015",315
"Benjamin Babatunde",2015-08-15,"Fall 2015",0
"Joo Garand",2015-08-15,"Fall 2015",90
"Aiden Jaeger",2015-08-15,"Fall 2015",180
"Tony Cha",2015-08-15,"Fall 2015",90
"Kevin Querubin",2015-08-15,"Fall 2015",135
"Kordell Thompson",2015-08-15,"Fall 2015",0
"Joaquin Martinez",2015-08-15,"Fall 2015",135
"Rocky Mccarty",2015-08-15,"Fall 2015",90
"Keandre Johnson",2015-08-15,"Fall 2015",135
"Scott Lucero",2015-08-15,"Fall 2015",225
"Max Zuniga",2015-08-15,"Fall 2015",90
"Torben Mcclelland",2015-08-15,"Fall 2015",135
"Steve Galligan",2015-08-15,"Fall 2015",90
"Marzooq al-Fahs",2015-08-15,"Fall 2015",90
"Muhaajir al-Mirza",2015-08-15,"Fall 2015",90
"Shawn James",2015-08-15,"Fall 2015",135
"Andrew Ortiz-Gonzales",2015-08-15,"Fall 2015",135
"Taaha el-Qazi",2015-08-15,"Fall 2015",135
"Lawrence Tamayo",2015-08-15,"Fall 2015",90
"Husaam al-Ishak",2015-08-15,"Fall 2015",90
"Bishr el-Hamdan",2015-08-15,"Fall 2015",0
"Arun Bruckner",2015-08-15,"Fall 2015",0
"Jungsoo Moua",2015-08-15,"Fall 2015",0
"Mori Tani",2015-08-15,"Fall 2015",0
"Saleem el-Sham",2015-08-15,"Fall 2015",0
"Naadir el-Mahdavi",2015-08-15,"Fall 2015",45
"Tayyib al-Wahab",2015-08-15,"Fall 2015",0
"Brandon Troxel",2015-08-15,"Fall 2015",90
"Aqeel al-Hossain",2015-08-15,"Fall 2015",135
"Darin Russell",2015-08-15,"Fall 2015",135
"Benjamin Babatunde",2015-08-16,"Fall 2015",440
"Joo Garand",2015-08-16,"Fall 2015",440
"Aiden Jaeger",2015-08-16,"Fall 2015",330
"Tony Cha",2015-08-16,"Fall 2015",440
"Kevin Querubin",2015-08-16,"Fall 2015",550
"Kordell Thompson",2015-08-16,"Fall 2015",0
"Joaquin Martinez",2015-08-16,"Fall 2015",550
"Rocky Mccarty",2015-08-16,"Fall 2015",550
"Keandre Johnson",2015-08-16,"Fall 2015",440
"Scott Lucero",2015-08-16,"Fall 2015",330
"Max Zuniga",2015-08-16,"Fall 2015",550
"Torben Mcclelland",2015-08-16,"Fall 2015",550
"Steve Galligan",2015-08-16,"Fall 2015",660
"Marzooq al-Fahs",2015-08-16,"Fall 2015",440
"Muhaajir al-Mirza",2015-08-16,"Fall 2015",440
"Shawn James",2015-08-16,"Fall 2015",330
"Andrew Ortiz-Gonzales",2015-08-16,"Fall 2015",220
"Taaha el-Qazi",2015-08-16,"Fall 2015",550
"Lawrence Tamayo",2015-08-16,"Fall 2015",440
"Husaam al-Ishak",2015-08-16,"Fall 2015",550
"Bishr el-Hamdan",2015-08-16,"Fall 2015",550
"Arun Bruckner",2015-08-16,"Fall 2015",550
"Jungsoo Moua",2015-08-16,"Fall 2015",550
"Mori Tani",2015-08-16,"Fall 2015",660
"Saleem el-Sham",2015-08-16,"Fall 2015",330
"Naadir el-Mahdavi",2015-08-16,"Fall 2015",440
"Tayyib al-Wahab",2015-08-16,"Fall 2015",550
"Brandon Troxel",2015-08-16,"Fall 2015",440
"Aqeel al-Hossain",2015-08-16,"Fall 2015",660
"Darin Russell",2015-08-16,"Fall 2015",220
"Sahl al-Sader",2015-08-16,"Fall 2015",440
"Benjamin Babatunde",2015-08-17,"Fall 2015",285
"Joo Garand",2015-08-17,"Fall 2015",285
"Aiden Jaeger",2015-08-17,"Fall 2015",285
"Tony Cha",2015-08-17,"Fall 2015",285
"Kevin Querubin",2015-08-17,"Fall 2015",285
"Kordell Thompson",2015-08-17,"Fall 2015",150
"Joaquin Martinez",2015-08-17,"Fall 2015",380
"Rocky Mccarty",2015-08-17,"Fall 2015",285
"Keandre Johnson",2015-08-17,"Fall 2015",285
"Scott Lucero",2015-08-17,"Fall 2015",285
"Max Zuniga",2015-08-17,"Fall 2015",380
"Torben Mcclelland",2015-08-17,"Fall 2015",190
"Steve Galligan",2015-08-17,"Fall 2015",475
"Marzooq al-Fahs",2015-08-17,"Fall 2015",285
"Muhaajir al-Mirza",2015-08-17,"Fall 2015",380
"Shawn James",2015-08-17,"Fall 2015",380
"Andrew Ortiz-Gonzales",2015-08-17,"Fall 2015",95
"Taaha el-Qazi",2015-08-17,"Fall 2015",380
"Lawrence Tamayo",2015-08-17,"Fall 2015",285
"Husaam al-Ishak",2015-08-17,"Fall 2015",285
"Bishr el-Hamdan",2015-08-17,"Fall 2015",475
"Arun Bruckner",2015-08-17,"Fall 2015",475
"Jungsoo Moua",2015-08-17,"Fall 2015",475
"Mori Tani",2015-08-17,"Fall 2015",380
"Saleem el-Sham",2015-08-17,"Fall 2015",285
"Kong Meng Hutchinson",2015-08-17,"Fall 2015",285
"Naadir el-Mahdavi",2015-08-17,"Fall 2015",380
"Tayyib al-Wahab",2015-08-17,"Fall 2015",380
"Brandon Troxel",2015-08-17,"Fall 2015",0
"Aqeel al-Hossain",2015-08-17,"Fall 2015",285
"Darin Russell",2015-08-17,"Fall 2015",380
"Sahl al-Sader",2015-08-17,"Fall 2015",190
"Benjamin Babatunde",2015-08-18,"Fall 2015",0
"Joo Garand",2015-08-18,"Fall 2015",0
"Aiden Jaeger",2015-08-18,"Fall 2015",0
"Tony Cha",2015-08-18,"Fall 2015",0
"Kevin Querubin",2015-08-18,"Fall 2015",0
"Kordell Thompson",2015-08-18,"Fall 2015",0
"Joaquin Martinez",2015-08-18,"Fall 2015",0
"Rocky Mccarty",2015-08-18,"Fall 2015",0
"Keandre Johnson",2015-08-18,"Fall 2015",0
"Scott Lucero",2015-08-18,"Fall 2015",0
"Max Zuniga",2015-08-18,"Fall 2015",0
"Torben Mcclelland",2015-08-18,"Fall 2015",0
"Steve Galligan",2015-08-18,"Fall 2015",0
"Marzooq al-Fahs",2015-08-18,"Fall 2015",0
"Muhaajir al-Mirza",2015-08-18,"Fall 2015",0
"Shawn James",2015-08-18,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-08-18,"Fall 2015",0
"Taaha el-Qazi",2015-08-18,"Fall 2015",0
"Lawrence Tamayo",2015-08-18,"Fall 2015",0
"Husaam al-Ishak",2015-08-18,"Fall 2015",0
"Bishr el-Hamdan",2015-08-18,"Fall 2015",0
"Arun Bruckner",2015-08-18,"Fall 2015",0
"Jungsoo Moua",2015-08-18,"Fall 2015",0
"Mori Tani",2015-08-18,"Fall 2015",0
"Saleem el-Sham",2015-08-18,"Fall 2015",0
"Kong Meng Hutchinson",2015-08-18,"Fall 2015",0
"Naadir el-Mahdavi",2015-08-18,"Fall 2015",0
"Tayyib al-Wahab",2015-08-18,"Fall 2015",0
"Brandon Troxel",2015-08-18,"Fall 2015",0
"Aqeel al-Hossain",2015-08-18,"Fall 2015",0
"Darin Russell",2015-08-18,"Fall 2015",0
"Sahl al-Sader",2015-08-18,"Fall 2015",0
"Benjamin Babatunde",2015-08-19,"Fall 2015",0
"Joo Garand",2015-08-19,"Fall 2015",405
"Aiden Jaeger",2015-08-19,"Fall 2015",945
"Tony Cha",2015-08-19,"Fall 2015",675
"Kevin Querubin",2015-08-19,"Fall 2015",810
"Kordell Thompson",2015-08-19,"Fall 2015",0
"Joaquin Martinez",2015-08-19,"Fall 2015",945
"Rocky Mccarty",2015-08-19,"Fall 2015",405
"Keandre Johnson",2015-08-19,"Fall 2015",675
"Scott Lucero",2015-08-19,"Fall 2015",405
"Max Zuniga",2015-08-19,"Fall 2015",675
"Torben Mcclelland",2015-08-19,"Fall 2015",810
"Steve Galligan",2015-08-19,"Fall 2015",945
"Marzooq al-Fahs",2015-08-19,"Fall 2015",270
"Muhaajir al-Mirza",2015-08-19,"Fall 2015",675
"Shawn James",2015-08-19,"Fall 2015",540
"Andrew Ortiz-Gonzales",2015-08-19,"Fall 2015",540
"Taaha el-Qazi",2015-08-19,"Fall 2015",675
"Lawrence Tamayo",2015-08-19,"Fall 2015",405
"Husaam al-Ishak",2015-08-19,"Fall 2015",810
"Bishr el-Hamdan",2015-08-19,"Fall 2015",0
"Arun Bruckner",2015-08-19,"Fall 2015",0
"Jungsoo Moua",2015-08-19,"Fall 2015",0
"Mori Tani",2015-08-19,"Fall 2015",0
"Saleem el-Sham",2015-08-19,"Fall 2015",0
"Kong Meng Hutchinson",2015-08-19,"Fall 2015",0
"Naadir el-Mahdavi",2015-08-19,"Fall 2015",945
"Tayyib al-Wahab",2015-08-19,"Fall 2015",0
"Brandon Troxel",2015-08-19,"Fall 2015",675
"Aqeel al-Hossain",2015-08-19,"Fall 2015",675
"Darin Russell",2015-08-19,"Fall 2015",405
"Sahl al-Sader",2015-08-19,"Fall 2015",540
"Benjamin Babatunde",2015-08-20,"Fall 2015",375
"Joo Garand",2015-08-20,"Fall 2015",375
"Aiden Jaeger",2015-08-20,"Fall 2015",330
"Tony Cha",2015-08-20,"Fall 2015",500
"Kevin Querubin",2015-08-20,"Fall 2015",610
"Kordell Thompson",2015-08-20,"Fall 2015",140
"Joaquin Martinez",2015-08-20,"Fall 2015",460
"Rocky Mccarty",2015-08-20,"Fall 2015",720
"Keandre Johnson",2015-08-20,"Fall 2015",330
"Scott Lucero",2015-08-20,"Fall 2015",670
"Max Zuniga",2015-08-20,"Fall 2015",375
"Torben Mcclelland",2015-08-20,"Fall 2015",670
"Steve Galligan",2015-08-20,"Fall 2015",435
"Marzooq al-Fahs",2015-08-20,"Fall 2015",780
"Muhaajir al-Mirza",2015-08-20,"Fall 2015",780
"Shawn James",2015-08-20,"Fall 2015",780
"Andrew Ortiz-Gonzales",2015-08-20,"Fall 2015",670
"Taaha el-Qazi",2015-08-20,"Fall 2015",560
"Lawrence Tamayo",2015-08-20,"Fall 2015",375
"Husaam al-Ishak",2015-08-20,"Fall 2015",500
"Bishr el-Hamdan",2015-08-20,"Fall 2015",790
"Arun Bruckner",2015-08-20,"Fall 2015",670
"Jungsoo Moua",2015-08-20,"Fall 2015",940
"Mori Tani",2015-08-20,"Fall 2015",780
"Saleem el-Sham",2015-08-20,"Fall 2015",450
"Kong Meng Hutchinson",2015-08-20,"Fall 2015",670
"Naadir el-Mahdavi",2015-08-20,"Fall 2015",375
"Tayyib al-Wahab",2015-08-20,"Fall 2015",450
"Brandon Troxel",2015-08-20,"Fall 2015",330
"Aqeel al-Hossain",2015-08-20,"Fall 2015",780
"Darin Russell",2015-08-20,"Fall 2015",315
"Sahl al-Sader",2015-08-20,"Fall 2015",330
"Benjamin Babatunde",2015-08-21,"Fall 2015",150
"Joo Garand",2015-08-21,"Fall 2015",150
"Aiden Jaeger",2015-08-21,"Fall 2015",150
"Tony Cha",2015-08-21,"Fall 2015",150
"Kevin Querubin",2015-08-21,"Fall 2015",150
"Kordell Thompson",2015-08-21,"Fall 2015",0
"Joaquin Martinez",2015-08-21,"Fall 2015",225
"Rocky Mccarty",2015-08-21,"Fall 2015",225
"Keandre Johnson",2015-08-21,"Fall 2015",150
"Scott Lucero",2015-08-21,"Fall 2015",150
"Max Zuniga",2015-08-21,"Fall 2015",150
"Torben Mcclelland",2015-08-21,"Fall 2015",150
"Steve Galligan",2015-08-21,"Fall 2015",300
"Marzooq al-Fahs",2015-08-21,"Fall 2015",225
"Muhaajir al-Mirza",2015-08-21,"Fall 2015",225
"Shawn James",2015-08-21,"Fall 2015",300
"Andrew Ortiz-Gonzales",2015-08-21,"Fall 2015",150
"Taaha el-Qazi",2015-08-21,"Fall 2015",150
"Lawrence Tamayo",2015-08-21,"Fall 2015",150
"Husaam al-Ishak",2015-08-21,"Fall 2015",150
"Bishr el-Hamdan",2015-08-21,"Fall 2015",150
"Arun Bruckner",2015-08-21,"Fall 2015",290
"Jungsoo Moua",2015-08-21,"Fall 2015",75
"Mori Tani",2015-08-21,"Fall 2015",360
"Saleem el-Sham",2015-08-21,"Fall 2015",225
"Kong Meng Hutchinson",2015-08-21,"Fall 2015",75
"Naadir el-Mahdavi",2015-08-21,"Fall 2015",150
"Tayyib al-Wahab",2015-08-21,"Fall 2015",430
"Brandon Troxel",2015-08-21,"Fall 2015",225
"Aqeel al-Hossain",2015-08-21,"Fall 2015",150
"Darin Russell",2015-08-21,"Fall 2015",75
"Sahl al-Sader",2015-08-21,"Fall 2015",150
"Benjamin Babatunde",2015-08-22,"Fall 2015",0
"Joo Garand",2015-08-22,"Fall 2015",0
"Aiden Jaeger",2015-08-22,"Fall 2015",540
"Tony Cha",2015-08-22,"Fall 2015",540
"Kevin Querubin",2015-08-22,"Fall 2015",405
"Kordell Thompson",2015-08-22,"Fall 2015",0
"Joaquin Martinez",2015-08-22,"Fall 2015",810
"Rocky Mccarty",2015-08-22,"Fall 2015",405
"Keandre Johnson",2015-08-22,"Fall 2015",1080
"Scott Lucero",2015-08-22,"Fall 2015",0
"Max Zuniga",2015-08-22,"Fall 2015",810
"Torben Mcclelland",2015-08-22,"Fall 2015",675
"Steve Galligan",2015-08-22,"Fall 2015",1080
"Marzooq al-Fahs",2015-08-22,"Fall 2015",0
"Muhaajir al-Mirza",2015-08-22,"Fall 2015",675
"Shawn James",2015-08-22,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-08-22,"Fall 2015",405
"Taaha el-Qazi",2015-08-22,"Fall 2015",945
"Lawrence Tamayo",2015-08-22,"Fall 2015",540
"Husaam al-Ishak",2015-08-22,"Fall 2015",0
"Bishr el-Hamdan",2015-08-22,"Fall 2015",0
"Arun Bruckner",2015-08-22,"Fall 2015",0
"Jungsoo Moua",2015-08-22,"Fall 2015",0
"Mori Tani",2015-08-22,"Fall 2015",0
"Saleem el-Sham",2015-08-22,"Fall 2015",0
"Kong Meng Hutchinson",2015-08-22,"Fall 2015",0
"Naadir el-Mahdavi",2015-08-22,"Fall 2015",945
"Tayyib al-Wahab",2015-08-22,"Fall 2015",0
"Brandon Troxel",2015-08-22,"Fall 2015",810
"Aqeel al-Hossain",2015-08-22,"Fall 2015",945
"Darin Russell",2015-08-22,"Fall 2015",810
"Sahl al-Sader",2015-08-22,"Fall 2015",270
"Benjamin Babatunde",2015-08-23,"Fall 2015",0
"Joo Garand",2015-08-23,"Fall 2015",0
"Aiden Jaeger",2015-08-23,"Fall 2015",0
"Tony Cha",2015-08-23,"Fall 2015",0
"Kevin Querubin",2015-08-23,"Fall 2015",0
"Kordell Thompson",2015-08-23,"Fall 2015",0
"Joaquin Martinez",2015-08-23,"Fall 2015",0
"Rocky Mccarty",2015-08-23,"Fall 2015",0
"Keandre Johnson",2015-08-23,"Fall 2015",0
"Scott Lucero",2015-08-23,"Fall 2015",0
"Max Zuniga",2015-08-23,"Fall 2015",0
"Torben Mcclelland",2015-08-23,"Fall 2015",0
"Steve Galligan",2015-08-23,"Fall 2015",0
"Marzooq al-Fahs",2015-08-23,"Fall 2015",0
"Muhaajir al-Mirza",2015-08-23,"Fall 2015",0
"Shawn James",2015-08-23,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-08-23,"Fall 2015",0
"Taaha el-Qazi",2015-08-23,"Fall 2015",0
"Lawrence Tamayo",2015-08-23,"Fall 2015",0
"Husaam al-Ishak",2015-08-23,"Fall 2015",0
"Bishr el-Hamdan",2015-08-23,"Fall 2015",0
"Arun Bruckner",2015-08-23,"Fall 2015",0
"Jungsoo Moua",2015-08-23,"Fall 2015",0
"Mori Tani",2015-08-23,"Fall 2015",0
"Saleem el-Sham",2015-08-23,"Fall 2015",0
"Kong Meng Hutchinson",2015-08-23,"Fall 2015",0
"Naadir el-Mahdavi",2015-08-23,"Fall 2015",0
"Tayyib al-Wahab",2015-08-23,"Fall 2015",0
"Brandon Troxel",2015-08-23,"Fall 2015",0
"Aqeel al-Hossain",2015-08-23,"Fall 2015",0
"Darin Russell",2015-08-23,"Fall 2015",0
"Sahl al-Sader",2015-08-23,"Fall 2015",0
"Benjamin Babatunde",2015-08-24,"Fall 2015",160
"Joo Garand",2015-08-24,"Fall 2015",240
"Aiden Jaeger",2015-08-24,"Fall 2015",160
"Tony Cha",2015-08-24,"Fall 2015",240
"Kevin Querubin",2015-08-24,"Fall 2015",400
"Kordell Thompson",2015-08-24,"Fall 2015",160
"Joaquin Martinez",2015-08-24,"Fall 2015",240
"Rocky Mccarty",2015-08-24,"Fall 2015",240
"Keandre Johnson",2015-08-24,"Fall 2015",80
"Scott Lucero",2015-08-24,"Fall 2015",320
"Max Zuniga",2015-08-24,"Fall 2015",160
"Torben Mcclelland",2015-08-24,"Fall 2015",320
"Steve Galligan",2015-08-24,"Fall 2015",195
"Marzooq al-Fahs",2015-08-24,"Fall 2015",400
"Muhaajir al-Mirza",2015-08-24,"Fall 2015",160
"Shawn James",2015-08-24,"Fall 2015",320
"Andrew Ortiz-Gonzales",2015-08-24,"Fall 2015",320
"Taaha el-Qazi",2015-08-24,"Fall 2015",320
"Lawrence Tamayo",2015-08-24,"Fall 2015",240
"Husaam al-Ishak",2015-08-24,"Fall 2015",240
"Bishr el-Hamdan",2015-08-24,"Fall 2015",400
"Arun Bruckner",2015-08-24,"Fall 2015",480
"Jungsoo Moua",2015-08-24,"Fall 2015",320
"Mori Tani",2015-08-24,"Fall 2015",400
"Saleem el-Sham",2015-08-24,"Fall 2015",240
"Kong Meng Hutchinson",2015-08-24,"Fall 2015",320
"Naadir el-Mahdavi",2015-08-24,"Fall 2015",80
"Tayyib al-Wahab",2015-08-24,"Fall 2015",400
"Brandon Troxel",2015-08-24,"Fall 2015",160
"Aqeel al-Hossain",2015-08-24,"Fall 2015",80
"Darin Russell",2015-08-24,"Fall 2015",80
"Sahl al-Sader",2015-08-24,"Fall 2015",240
"Benjamin Babatunde",2015-08-25,"Fall 2015",290
"Joo Garand",2015-08-25,"Fall 2015",380
"Aiden Jaeger",2015-08-25,"Fall 2015",370
"Tony Cha",2015-08-25,"Fall 2015",700
"Kevin Querubin",2015-08-25,"Fall 2015",0
"Kordell Thompson",2015-08-25,"Fall 2015",230
"Joaquin Martinez",2015-08-25,"Fall 2015",570
"Rocky Mccarty",2015-08-25,"Fall 2015",420
"Keandre Johnson",2015-08-25,"Fall 2015",690
"Scott Lucero",2015-08-25,"Fall 2015",650
"Max Zuniga",2015-08-25,"Fall 2015",460
"Torben Mcclelland",2015-08-25,"Fall 2015",470
"Steve Galligan",2015-08-25,"Fall 2015",470
"Marzooq al-Fahs",2015-08-25,"Fall 2015",470
"Muhaajir al-Mirza",2015-08-25,"Fall 2015",420
"Shawn James",2015-08-25,"Fall 2015",525
"Andrew Ortiz-Gonzales",2015-08-25,"Fall 2015",520
"Taaha el-Qazi",2015-08-25,"Fall 2015",600
"Lawrence Tamayo",2015-08-25,"Fall 2015",460
"Husaam al-Ishak",2015-08-25,"Fall 2015",560
"Bishr el-Hamdan",2015-08-25,"Fall 2015",550
"Arun Bruckner",2015-08-25,"Fall 2015",560
"Jungsoo Moua",2015-08-25,"Fall 2015",280
"Mori Tani",2015-08-25,"Fall 2015",220
"Saleem el-Sham",2015-08-25,"Fall 2015",420
"Kong Meng Hutchinson",2015-08-25,"Fall 2015",510
"Naadir el-Mahdavi",2015-08-25,"Fall 2015",470
"Tayyib al-Wahab",2015-08-25,"Fall 2015",640
"Brandon Troxel",2015-08-25,"Fall 2015",450
"Aqeel al-Hossain",2015-08-25,"Fall 2015",560
"Darin Russell",2015-08-25,"Fall 2015",510
"Sahl al-Sader",2015-08-25,"Fall 2015",270
"Benjamin Babatunde",2015-08-26,"Fall 2015",225
"Joo Garand",2015-08-26,"Fall 2015",225
"Aiden Jaeger",2015-08-26,"Fall 2015",150
"Tony Cha",2015-08-26,"Fall 2015",150
"Kevin Querubin",2015-08-26,"Fall 2015",0
"Kordell Thompson",2015-08-26,"Fall 2015",150
"Joaquin Martinez",2015-08-26,"Fall 2015",150
"Rocky Mccarty",2015-08-26,"Fall 2015",225
"Keandre Johnson",2015-08-26,"Fall 2015",0
"Scott Lucero",2015-08-26,"Fall 2015",225
"Max Zuniga",2015-08-26,"Fall 2015",150
"Torben Mcclelland",2015-08-26,"Fall 2015",225
"Steve Galligan",2015-08-26,"Fall 2015",225
"Marzooq al-Fahs",2015-08-26,"Fall 2015",225
"Muhaajir al-Mirza",2015-08-26,"Fall 2015",0
"Shawn James",2015-08-26,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-08-26,"Fall 2015",225
"Taaha el-Qazi",2015-08-26,"Fall 2015",225
"Lawrence Tamayo",2015-08-26,"Fall 2015",150
"Husaam al-Ishak",2015-08-26,"Fall 2015",225
"Bishr el-Hamdan",2015-08-26,"Fall 2015",300
"Arun Bruckner",2015-08-26,"Fall 2015",300
"Jungsoo Moua",2015-08-26,"Fall 2015",150
"Mori Tani",2015-08-26,"Fall 2015",75
"Saleem el-Sham",2015-08-26,"Fall 2015",225
"Kong Meng Hutchinson",2015-08-26,"Fall 2015",225
"Naadir el-Mahdavi",2015-08-26,"Fall 2015",150
"Tayyib al-Wahab",2015-08-26,"Fall 2015",225
"Brandon Troxel",2015-08-26,"Fall 2015",225
"Aqeel al-Hossain",2015-08-26,"Fall 2015",225
"Darin Russell",2015-08-26,"Fall 2015",150
"Sahl al-Sader",2015-08-26,"Fall 2015",150
"Benjamin Babatunde",2015-08-27,"Fall 2015",340
"Joo Garand",2015-08-27,"Fall 2015",255
"Aiden Jaeger",2015-08-27,"Fall 2015",170
"Tony Cha",2015-08-27,"Fall 2015",170
"Kevin Querubin",2015-08-27,"Fall 2015",90
"Kordell Thompson",2015-08-27,"Fall 2015",170
"Joaquin Martinez",2015-08-27,"Fall 2015",170
"Rocky Mccarty",2015-08-27,"Fall 2015",170
"Keandre Johnson",2015-08-27,"Fall 2015",255
"Scott Lucero",2015-08-27,"Fall 2015",170
"Max Zuniga",2015-08-27,"Fall 2015",170
"Torben Mcclelland",2015-08-27,"Fall 2015",170
"Steve Galligan",2015-08-27,"Fall 2015",255
"Marzooq al-Fahs",2015-08-27,"Fall 2015",255
"Muhaajir al-Mirza",2015-08-27,"Fall 2015",85
"Shawn James",2015-08-27,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-08-27,"Fall 2015",85
"Taaha el-Qazi",2015-08-27,"Fall 2015",170
"Lawrence Tamayo",2015-08-27,"Fall 2015",255
"Husaam al-Ishak",2015-08-27,"Fall 2015",85
"Bishr el-Hamdan",2015-08-27,"Fall 2015",170
"Arun Bruckner",2015-08-27,"Fall 2015",170
"Jungsoo Moua",2015-08-27,"Fall 2015",85
"Mori Tani",2015-08-27,"Fall 2015",170
"Saleem el-Sham",2015-08-27,"Fall 2015",255
"Kong Meng Hutchinson",2015-08-27,"Fall 2015",170
"Naadir el-Mahdavi",2015-08-27,"Fall 2015",170
"Tayyib al-Wahab",2015-08-27,"Fall 2015",85
